8,   8,  21,  14,  15,  10,  12,  12,  13,  22,  15,  25,  10,   7,   8,   8,   7,   8,   7,   4
8,   9,  16,  16,  10,   9,  14,  13,  16,  15,  14,  15,  22,  84,  26,   7,   9,   8,   9,  11
9,   9,  13,  20,  13,  32,  22,  19,  18,  20,  17,  13,  29,  68,  21,  19,  12,  12,  12,  30
9,   8,  11,  15,  17,  34,  21,  24,  22,  20,  19,  20,  16,  16,  19,  21,  13,  12,   8,   7
9,  13,  14,  20,  21,  21,  23,  32,  30,  26,  29,  24,  22,  22,  19,  17,  16,  13,  10,   9
15,  26,  16,  19,  22,  26,  28,  36,  39,  39,  41,  34,  44,  28,  25,  21,  19,  16,  12,  11
14,  17,  19,  19,  33,  40,  36,  46,  52,  53,  48,  43,  44,  38,  27,  22,  21,  18,  13,  12
13,  16,  18,  22,  25,  34,  48,  59,  65,  73,  63,  53,  44,  41,  30,  25,  28,  18,  17,  23
18,  16,  20,  24,  33,  38,  50,  72,  84,  90,  79,  64,  52,  42,  33,  28,  32,  18,  38,  30
13,  15,  18,  24,  34,  44,  68,  83, 116, 140, 101,  72,  58,  47,  41,  33,  28,  19,  20,  15
12,  15,  19,  25,  31,  44,  70,  86, 137, 185, 115,  81,  57,  47,  42,  32,  24,  21,  20,  15
12,  16,  19,  25,  30,  41,  61,  80, 113, 119,  90,  71,  58,  45,  41,  30,  27,  39,  28,  17
11,  15,  19,  28,  35,  39,  52,  65,  80,  79,  77,  81,  53,  46,  38,  30,  26,  24,  47,  26
10,  12,  17,  21,  27,  32,  40,  48,  57,  57,  56,  60,  44,  39,  35,  29,  25,  23,  18,  14
9,  12,  13,  18,  22,  27,  33,  37,  44,  64,  60,  44,  43,  31,  31,  29,  21,  26,  16,  13
14,  21,  12,  17,  19,  23,  29,  32,  36,  43,  51,  42,  33,  27,  28,  26,  18,  25,  17,  37
9,   9,  10,  13,  17,  29,  29,  28,  32,  32,  32,  30,  29,  25,  23,  21,  17,  13,  14,  14
7,   7,   8,  10,  14,  15,  22,  26,  27,  25,  26,  27,  26,  22,  20,  19,  15,  12,  11,  10
5,   6,   6,   7,   9,  11,  19,  20,  20,  20,  25,  34,  21,  20,  15,  15,  13,  12,  10,   9
12,   5,   6,   7,   7,   8,  14,  13,  12,  15,  17,  20,  15,  14,  12,  11,  10,   8,   8,   7
