4,   9,  13,   7,   5,  37,  54,  32,   9,  37,  54,  66,  73,  63,  87,  62,  46,  42,  27,  12
4,   8,  12,   7,   4,  26,  50,  28,  21,  40,  42,  58,  75,  72,  59,  58,  44,  49,  35,  12
5,  10,  12,   8,   4,  21,  37,  25,  25,  35,  38,  82,  88,  66,  60,  87,  94,  63,  33,   2
4,   8,  11,   8,   4,  17,  28,  21,  22,  34,  90, 147, 166, 135,  89,  85,  76,  68,  46,  42
4,   7,  13,   8,   6,  15,  19,  21,  24,  53,  82, 145, 199, 185, 158,  92,  58,  75,  70,  67
4,  11,  13,   6,   6,  16,  21,  21,  26,  49,  73, 106, 153, 213, 191, 123,  52,  68,  84,  45
4,   9,  13,  10,   7,  14,  22,  18,  22,  44,  71,  76,  45, 111, 197, 170, 113,  71,  87,  67
6,   8,  11,  14,   7,  13,  21,  17,  21,  37,  57,  87,  52,  28, 118, 190, 143, 105, 124, 110
12,  14,  16,  11,  10,  13,  19,  21,  19,  34,  41,  75,  97,  56,  41, 149, 148, 129, 145, 184
15,  15,  14,  12,  11,  13,  17,  20,  15,  26,  42,  47,  93,  84,  45, 118, 137, 110, 130, 194
14,  17,  17,  14,  15,  14,  14,  16,  15,  19,  40,  33,  48,  92, 100, 112, 125,  80, 148, 171
9,  15,  23,  33,  21,  13,  11,  15,  13,  15,  26,  44,  32,  49,  71,  87,  98,  89, 179, 155
15,  17,  29,  64,  53,  18,  12,  15,  14,  16,  26,  62,  51,  35,  39,  63, 104, 167, 174, 133
25,  24,  30, 105,  87,  24,  12,  15,  16,  17,  28,  40,  49,  48,  51, 102, 134, 104,  79, 119
28,  27,  26, 121, 125,  30,  16,  20,  16,  19,  29,  28,  30,  39,  55,  70,  45,  58, 112, 129
27,  30,  21, 113, 128,  35,  27,  35,  19,  24,  29,  31,  33,  27,  43,  68,  74, 101, 134, 105
22,  26,  17, 102, 118,  42,  51,  56,  31,  28,  33,  50,  71,  72,  62,  78,  92,  82,  74,  90
24,  28,  11,  89,  91,  55,  75,  36,  23,  37,  97, 136, 137, 134, 110,  91, 106,  58,  49,  56
22,  33,   8,  62,  72,  67,  43,  22,  32,  52,  61,  45,  34,  34,  37,  38,  39,  28,  35,  24
19,  30,   7,  49,  50,  39,  13,  25,  46,  43,  23,  27,  23,  15,   3,   6,  17,  17,  22,  18
