0,   0,   0,   0,   1,   2,   4,  46,  74,  31,   0,   3,   0,  18,  10,   5,   2,   1,   2,   3
0,   0,   0,   0,   1,   7,   4,  36,  11,   7,   1,   0,   5,   9,  28,  24,   0,   4,   2,   4
0,   0,   0,   2,   4,   3,   2,   3,  12,   2,   0,   4,  10,   6,  38,  43,   5,   1,   3,  14
0,   1,   0,   3,   5,   3,   1,   2,   4,   1,   0,   2,   2,   8,  44,  55,   8,  21,  24,  64
4,  15,   2,   7,   6,   3,   1,   1,   1,   1,   1,   1,   0,   1,   4,  60,  77,  53,  26,  20
3,   8,   4,   2,   3,  10,   6,   6,   2,   2,   2,   1,   1,   4,   3,  54,  92,  60,  34,  21
1,   2,   1,  15,  32,  46,  74,  69,  45,  37,  43,  19,   9,   5,  22,  91,  47,  19,  16,   7
1,   7,  12,  52, 113, 143, 181, 172, 145, 123,  87,  35,  56,  55,  52,  55,  47,  47,  15,   4
0,   4,  18,  50, 101, 163, 150, 125, 119, 126,  84,  22,  56, 100,  41,  35,  42,  23,   8,   4
25,   8,  23,  63, 121, 183,  80,  62, 123,  85,  78,  91,  79,  52,  43,  41,  43,  27,  32,  26
137,  47,  50, 104, 139, 101,  72,  35,  93, 144, 178, 184, 131,  89,  64,  80,  66,  43,  31,  33
169, 118,  63,  61,  95,   1,   0,   1,  93, 166, 187, 173, 124,  88, 108, 146, 102,  66,  57,  33
174, 146,  79,  47, 122,  88,   6,   0,  12,   6,   9,  31, 129, 139, 123, 108,  91,  81,  86,  38
158, 105,  58,  56, 171, 204,  94,   0,   0,   0,   0,   0,  26, 115, 136, 161,  99,  88, 113,  47
190, 147, 111,  69, 204, 246, 229,  78,   0,   0,   0,   0,  37, 131, 158, 180, 154, 119, 154, 123
225, 234, 170,  84, 203, 247, 249, 212,  23,   6,   0,  58, 101, 224, 220, 220, 216, 207, 205, 202
221, 221, 156,  78, 186, 240, 241, 204, 101, 197,  55, 110, 150, 218, 211, 209, 207, 203, 201, 198
87,  62,  39,  36, 115, 175, 183, 139, 126, 177,  87,  66, 107, 149, 128, 121, 139, 145, 144, 135
0,   0,   0,   1,   0,   5,  12,  10,  14,  12,   5,   2,   1,   1,   1,   0,   6,  14,  19,  16
1,   1,   1,   1,   2,   0,   0,   0,   0,   1,   1,   1,   1,   1,   1,   1,   0,   0,   0,   0
