14,  15,  18,  18,  18,  19,  22,  24,  25,  24,  23,  23,  21,  18,  17,  15,  13,  11,  10,   9
22,  22,  25,  26,  26,  27,  28,  29,  29,  29,  28,  27,  24,  21,  20,  18,  15,  13,  12,  11
29,  31,  32,  32,  32,  32,  33,  35,  34,  34,  32,  30,  28,  26,  23,  23,  22,  20,  17,  17
32,  35,  37,  39,  40,  40,  41,  44,  42,  42,  41,  38,  36,  32,  30,  28,  28,  27,  26,  27
38,  42,  48,  52,  53,  54,  55,  55,  55,  55,  53,  48,  42,  37,  36,  36,  37,  37,  38,  40
47,  48,  51,  55,  60,  61,  62,  63,  69,  72,  68,  64,  57,  62,  74,  84,  92,  93,  79,  75
82,  75,  71,  73,  82, 101, 113, 126, 144, 152, 139, 143, 140, 144, 151, 155, 153, 133,  92,  87
139, 138, 141, 142, 146, 154, 167, 173, 178, 174, 165, 162, 160, 159, 157, 151, 145, 143, 133, 136
118, 146, 155, 159, 164, 167, 181, 193, 197, 180, 172, 170, 167, 164, 158, 153, 152, 153, 150, 145
20,  86, 142, 142, 170, 180, 197, 225, 235, 209, 190, 182, 177, 171, 163, 162, 163, 163, 159, 154
3,  21,  50,  58, 102, 126, 157, 210, 229, 189, 160, 141, 126, 115, 114, 120, 116, 112, 115, 116
1,   4,  12,  18,  39,  77, 141, 195, 212, 155, 127, 113,  99,  89,  85,  82,  78,  74,  69,  63
1,  40,  76,  79, 132, 152, 172, 213, 228, 181, 161, 155, 153, 145, 138, 135, 134, 132, 129, 122
34, 100, 127, 122, 131, 132, 144, 168, 174, 150, 143, 139, 136, 133, 128, 124, 124, 124, 122, 116
103, 110, 109, 108, 104, 103, 115, 122, 125, 115, 110, 114, 115, 111, 107, 105, 101, 101,  99,  97
63,  52,  55,  55,  71,  86,  97, 103, 112, 108,  98, 100, 101, 100,  99,  97,  93,  89,  77,  79
13,  13,  12,  18,  27,  33,  41,  54,  71,  69,  63,  65,  67,  73,  84,  89,  89,  84,  53,  42
7,   5,   7,   8,   9,  13,  14,  30,  34,  17,  18,  15,  11,  15,  22,  32,  42,  44,  37,  30
3,   3,   4,   4,   4,   4,   4,  15,  18,   5,   6,   7,   5,   4,   2,   2,   2,   4,   4,   5
2,   2,   2,   2,   2,   2,   2,   5,   5,   2,   2,   2,   2,   1,   1,   1,   1,   1,   1,   1
