198, 199, 199, 199, 203, 205, 204, 204, 204, 204, 203, 202, 202, 202, 200, 199, 199, 199, 200, 193
197, 197, 198, 198, 198, 200, 201, 202, 201, 201, 201, 202, 203, 202, 200, 200, 198, 188, 168, 145
196, 196, 195, 195, 196, 195, 196, 199, 202, 203, 202, 198, 195, 188, 179, 174, 154, 139, 133, 131
194, 194, 193, 193, 194, 195, 196, 191, 181, 165, 149, 136, 130, 127, 125, 122, 120, 118, 116, 115
192, 192, 191, 189, 187, 177, 152, 130, 114, 109, 106, 107, 108, 109, 109, 108, 106, 105, 105, 111
168, 161, 153, 142, 128, 114, 106, 106, 106, 106, 107, 107, 108, 106, 104, 103, 103, 103, 104, 108
125, 118, 114, 108, 106, 105, 106, 106, 106, 105, 104, 105, 104, 103, 101, 102, 105, 105, 103,  99
109, 107, 105, 104, 103, 103, 103, 102, 102, 102, 102, 101, 101, 100,  99, 100, 100,  93,  88,  85
102, 102, 102, 101,  98,  97,  97,  97,  99,  98,  98,  96,  96,  93,  90,  87,  84,  81,  81,  80
98,  97,  97,  95,  94,  94,  93,  94,  94,  93,  92,  91,  88,  84,  81,  78,  79,  77,  76,  73
93,  93,  93,  93,  92,  91,  91,  90,  89,  88,  85,  83,  82,  81,  79,  77,  76,  72,  70,  69
115, 114, 112, 110, 108, 106, 105, 103, 101,  99,  95,  94,  92,  89,  87,  85,  83,  81,  78,  76
97,  97,  95,  93,  92,  91,  92,  92,  92,  92,  91,  90,  87,  83,  80,  77,  77,  76,  74,  72
96,  95,  94,  93,  92,  92,  92,  93,  92,  92,  92,  92,  91,  88,  85,  83,  80,  76,  75,  74
101,  99,  96,  95,  94,  95,  95,  95,  95,  94,  94,  95,  94,  90,  89,  91,  92,  88,  83,  79
118, 111, 105,  99,  95,  95,  97,  96,  96,  96,  95,  96,  95,  93,  90,  90,  92,  92,  91,  89
163, 157, 150, 139, 128, 114, 101,  96,  96,  96,  96,  97,  97,  95,  91,  90,  89,  89,  90,  92
178, 178, 176, 175, 175, 171, 156, 134, 118, 107, 100,  98,  98,  97,  95,  94,  92,  89,  90,  92
178, 178, 177, 177, 178, 179, 181, 181, 177, 169, 156, 144, 138, 130, 119, 116, 109, 103,  99,  99
169, 168, 169, 170, 170, 171, 175, 177, 178, 178, 179, 178, 177, 169, 160, 157, 148, 132, 115, 104
