59,  81, 106, 126, 133, 132, 132, 132, 132, 132, 134, 148, 197, 208, 159, 144, 150, 140, 143, 143
39,  42,  52,  85, 127, 136, 134, 135, 137, 142, 142, 169, 208, 192, 170, 185, 172, 163, 172, 164
37,  36,  40,  48,  85, 148, 168, 174, 177, 162, 148, 184, 195, 171, 171, 183, 177, 173, 160, 145
31,  34,  31,  38, 123, 203, 160, 118,  78,  43,  60,  91, 130, 161, 164, 160, 161, 155, 129, 108
23,  30,  74, 165, 205, 131,  36,  11,  33,  57,  50,  26,  16,  69, 147, 153, 141, 118,  91,  85
15,  54, 201, 199, 112,  30,   3,  80, 145, 112,  72,  63,  53,  31,  64, 112,  92,  80,  86, 100
14, 116, 203, 131,  43,   7,  29, 124, 102,  27,  54,  40,  47,  61,  18,  53,  75,  73,  85,  87
57, 192, 181,  88,  28,   2,  61,  87,  14, 109, 185, 149,  36,  58,  34,  29,  70,  67,  66,  62
145, 212, 157,  64,  22,  11,  76,  52,  22,  78, 127, 118,  54,  46,  42,  23,  72,  72,  66,  65
206, 207, 143,  47,  38,  22,  68,  59,  26,  89, 115, 113,  58,  56,  27,  30,  90,  89,  83,  80
222, 204, 130,  46,  50,  35,  29,  64,  24,  44,  76,  63,  73,  56,  12,  52,  96,  92,  89,  83
218, 182, 107,  43,  47,  55,  14,  37,  54,  31,  36,  51,  62,  26,  22,  84,  93,  90,  87,  80
200, 164,  96,  37,  44,  60,  48,  16,  22,  26,  32,  37,  21,  16,  72,  91,  85,  80,  75,  69
182, 154,  92,  35,  39,  57,  65,  60,  29,   9,   6,   9,  12,  22,  59,  73,  74,  71,  69,  70
187, 147,  69,  35,  31,  45,  60,  64,  44,  51,  35,  23,  27,  33,  43,  55,  54,  54,  52,  59
182, 126,  61,  36,  35,  30,  44,  48,  51, 129,  59,  27,  55,  79,  81,  79,  70,  65,  53,  59
170, 127,  69,  39,  34,  34,  39,  48,  59,  74,  38,  74,  91,  90,  85,  76,  64,  62,  64,  63
151, 111,  56,  33,  31,  35,  41,  53,  54,  43,  81, 102,  94,  81,  79,  80,  79,  77,  83,  75
130,  89,  47,  27,  28,  33,  38,  34,  38,  71,  87,  88,  86,  86,  87,  87,  84,  78,  75,  75
125,  85,  61,  33,  32,  32,  36,  35,  65,  84,  82,  85,  92,  91,  89,  92,  91,  84,  85,  88
