0,   0,   0,   0,   0,   1,   3,  38,  75,  32,   0,   2,   0,  15,  11,   3,   1,   1,   1,   1
0,   0,   0,   0,   1,   6,   3,  32,  10,   6,   0,   0,   3,   7,  25,  25,   0,   2,   0,   3
0,   0,   0,   0,   3,   3,   2,   2,  10,   1,   1,   3,   8,   5,  34,  44,   6,   0,   3,  13
0,   1,   0,   2,   4,   2,   1,   1,   3,   0,   0,   1,   2,   5,  40,  57,   8,  19,  22,  62
2,  11,   2,   5,   6,   3,   1,   1,   1,   2,   1,   0,   0,   0,   2,  54,  76,  56,  25,  19
2,  10,   4,   1,   1,  10,   7,   7,   2,   3,   3,   1,   0,   2,   1,  48,  94,  60,  37,  22
1,   1,   1,  13,  31,  45,  73,  67,  47,  36,  44,  20,   9,   6,  19,  89,  51,  21,  14,   5
1,   5,  11,  47, 111, 142, 179, 172, 147, 122,  89,  35,  54,  55,  51,  56,  48,  46,  16,   2
0,   3,  17,  48,  98, 155, 152, 128, 103, 121,  87,  21,  50,  98,  42,  33,  39,  23,   8,   2
24,   8,  21,  60, 119, 179,  86,  52, 116,  85,  75,  88,  80,  54,  43,  40,  46,  30,  30,  26
145,  47,  50,  99, 138,  94,  72,  28,  93, 138, 180, 186, 136,  88,  64,  78,  68,  43,  31,  31
175, 118,  67,  59,  94,   3,   0,   0,  82, 164, 191, 173, 129,  88, 109, 143, 109,  65,  62,  32
178, 151,  81,  47, 116,  91,   6,   0,  11,   4,   4,  27, 122, 139, 121, 106,  92,  78,  90,  38
161, 106,  59,  53, 165, 206, 100,   0,   0,   0,   0,   0,  16, 116, 134, 165, 101,  83, 116,  48
196, 149, 115,  68, 196, 246, 233,  85,   0,   0,   0,   0,  25, 131, 157, 180, 157, 119, 156, 124
224, 232, 175,  85, 195, 247, 249, 218,  27,   8,   0,  54,  90, 222, 220, 219, 216, 207, 206, 202
221, 223, 164,  79, 178, 239, 242, 211,  93, 195,  56,  97, 146, 217, 212, 209, 208, 205, 201, 198
87,  58,  37,  34, 109, 172, 181, 142, 116, 180,  82,  58, 102, 145, 130, 120, 136, 144, 144, 135
0,   0,   0,   1,   1,   6,  14,  12,  15,  15,   6,   2,   2,   1,   1,   0,   6,  15,  20,  16
1,   1,   1,   2,   1,   0,   0,   0,   0,   1,   0,   1,   1,   1,   1,   2,   1,   0,   0,   0
